race,age_group,state,population
Non-Hispanic American Indian or Alaska Native,25-34 years,Louisiana,4632
Non-Hispanic American Indian or Alaska Native,25-34 years,Maine,1262
Non-Hispanic American Indian or Alaska Native,25-34 years,Maryland,2022
Non-Hispanic American Indian or Alaska Native,25-34 years,Massachusetts,1895
Non-Hispanic American Indian or Alaska Native,25-34 years,Michigan,7917
Non-Hispanic American Indian or Alaska Native,25-34 years,Minnesota,9198
Non-Hispanic American Indian or Alaska Native,25-34 years,Mississippi,2290
Non-Hispanic American Indian or Alaska Native,25-34 years,Missouri,3860
Non-Hispanic American Indian or Alaska Native,25-34 years,Montana,9799
Non-Hispanic American Indian or Alaska Native,25-34 years,Nebraska,2517
Non-Hispanic American Indian or Alaska Native,25-34 years,Nevada,4169
Non-Hispanic American Indian or Alaska Native,25-34 years,New Hampshire,400
Non-Hispanic American Indian or Alaska Native,25-34 years,New Jersey,1703
Non-Hispanic American Indian or Alaska Native,25-34 years,New Mexico,30848
Non-Hispanic American Indian or Alaska Native,25-34 years,New York,8526
Non-Hispanic American Indian or Alaska Native,25-34 years,North Carolina,16371
Non-Hispanic American Indian or Alaska Native,25-34 years,North Dakota,6108
Non-Hispanic American Indian or Alaska Native,25-34 years,Ohio,3077
Non-Hispanic American Indian or Alaska Native,25-34 years,Oklahoma,48219
Non-Hispanic American Indian or Alaska Native,25-34 years,Oregon,7366
Non-Hispanic American Indian or Alaska Native,25-34 years,Pennsylvania,2696
Non-Hispanic American Indian or Alaska Native,25-34 years,Rhode Island,726
Non-Hispanic American Indian or Alaska Native,25-34 years,South Carolina,2616
Non-Hispanic American Indian or Alaska Native,25-34 years,South Dakota,11105
Non-Hispanic American Indian or Alaska Native,25-34 years,Tennessee,2604
Non-Hispanic American Indian or Alaska Native,25-34 years,Texas,13921
Non-Hispanic American Indian or Alaska Native,25-34 years,United States,370626
Non-Hispanic American Indian or Alaska Native,25-34 years,Utah,5388
Non-Hispanic American Indian or Alaska Native,25-34 years,Vermont,246
Non-Hispanic American Indian or Alaska Native,25-34 years,Virginia,3526
Non-Hispanic American Indian or Alaska Native,25-34 years,Washington,15227
Non-Hispanic American Indian or Alaska Native,25-34 years,West Virginia,472
Non-Hispanic American Indian or Alaska Native,25-34 years,Wisconsin,8082
Non-Hispanic American Indian or Alaska Native,25-34 years,Wyoming,1862
Non-Hispanic American Indian or Alaska Native,35-44 years,Alabama,3566
Non-Hispanic American Indian or Alaska Native,35-44 years,Alaska,12273
Non-Hispanic American Indian or Alaska Native,35-44 years,Arizona,35313
Non-Hispanic American Indian or Alaska Native,35-44 years,Arkansas,2817
Non-Hispanic American Indian or Alaska Native,35-44 years,California,20328
Non-Hispanic American Indian or Alaska Native,35-44 years,Colorado,5071
Non-Hispanic American Indian or Alaska Native,35-44 years,Connecticut,888
Non-Hispanic American Indian or Alaska Native,35-44 years,Delaware,314
Non-Hispanic American Indian or Alaska Native,35-44 years,District of Columbia,193
Non-Hispanic American Indian or Alaska Native,35-44 years,Florida,6230
Non-Hispanic American Indian or Alaska Native,35-44 years,Georgia,2848
Non-Hispanic American Indian or Alaska Native,35-44 years,Hawaii,393
Non-Hispanic American Indian or Alaska Native,35-44 years,Idaho,2416
Non-Hispanic American Indian or Alaska Native,35-44 years,Illinois,2413
Non-Hispanic American Indian or Alaska Native,35-44 years,Indiana,1831
Non-Hispanic American Indian or Alaska Native,35-44 years,Iowa,1189
Non-Hispanic American Indian or Alaska Native,35-44 years,Kansas,2940
Non-Hispanic American Indian or Alaska Native,35-44 years,Kentucky,1008
Non-Hispanic American Indian or Alaska Native,35-44 years,Louisiana,3691
Non-Hispanic American Indian or Alaska Native,35-44 years,Maine,1069
Non-Hispanic American Indian or Alaska Native,35-44 years,Maryland,1749
Non-Hispanic American Indian or Alaska Native,35-44 years,Massachusetts,1364
Non-Hispanic American Indian or Alaska Native,35-44 years,Michigan,6808
Non-Hispanic American Indian or Alaska Native,35-44 years,Minnesota,7017
Non-Hispanic American Indian or Alaska Native,35-44 years,Mississippi,1888
Non-Hispanic American Indian or Alaska Native,35-44 years,Missouri,3100
Non-Hispanic American Indian or Alaska Native,35-44 years,Montana,7315
Non-Hispanic American Indian or Alaska Native,35-44 years,Nebraska,1905
Non-Hispanic American Indian or Alaska Native,35-44 years,Nevada,3423
Non-Hispanic American Indian or Alaska Native,35-44 years,New Hampshire,341
Non-Hispanic American Indian or Alaska Native,35-44 years,New Jersey,1388
Non-Hispanic American Indian or Alaska Native,35-44 years,New Mexico,23740
Non-Hispanic American Indian or Alaska Native,35-44 years,New York,6651
Non-Hispanic American Indian or Alaska Native,35-44 years,North Carolina,14956
Non-Hispanic American Indian or Alaska Native,35-44 years,North Dakota,4453
Non-Hispanic American Indian or Alaska Native,35-44 years,Ohio,2595
Non-Hispanic American Indian or Alaska Native,35-44 years,Oklahoma,41762
Non-Hispanic American Indian or Alaska Native,35-44 years,Oregon,6164
Non-Hispanic American Indian or Alaska Native,35-44 years,Pennsylvania,2055
Non-Hispanic American Indian or Alaska Native,35-44 years,Rhode Island,545
Non-Hispanic American Indian or Alaska Native,35-44 years,South Carolina,2313
Non-Hispanic American Indian or Alaska Native,35-44 years,South Dakota,8139
Non-Hispanic American Indian or Alaska Native,35-44 years,Tennessee,2105
Non-Hispanic American Indian or Alaska Native,35-44 years,Texas,11688
Non-Hispanic American Indian or Alaska Native,35-44 years,United States,297509
Non-Hispanic American Indian or Alaska Native,35-44 years,Utah,3919
Non-Hispanic American Indian or Alaska Native,35-44 years,Vermont,227
Non-Hispanic American Indian or Alaska Native,35-44 years,Virginia,2553
Non-Hispanic American Indian or Alaska Native,35-44 years,Washington,12303
Non-Hispanic American Indian or Alaska Native,35-44 years,West Virginia,429
Non-Hispanic American Indian or Alaska Native,35-44 years,Wisconsin,6394
Non-Hispanic American Indian or Alaska Native,35-44 years,Wyoming,1429
Non-Hispanic American Indian or Alaska Native,45-54 years,Alabama,3833
Non-Hispanic American Indian or Alaska Native,45-54 years,Alaska,11504
Non-Hispanic American Indian or Alaska Native,45-54 years,Arizona,31862
Non-Hispanic American Indian or Alaska Native,45-54 years,Arkansas,2833
Non-Hispanic American Indian or Alaska Native,45-54 years,California,21657
Non-Hispanic American Indian or Alaska Native,45-54 years,Colorado,4627
Non-Hispanic American Indian or Alaska Native,45-54 years,Connecticut,1023
Non-Hispanic American Indian or Alaska Native,45-54 years,Delaware,398
Non-Hispanic American Indian or Alaska Native,45-54 years,District of Columbia,150
Non-Hispanic American Indian or Alaska Native,45-54 years,Florida,7745
Non-Hispanic American Indian or Alaska Native,45-54 years,Georgia,3243
Non-Hispanic American Indian or Alaska Native,45-54 years,Hawaii,323
Non-Hispanic American Indian or Alaska Native,45-54 years,Idaho,2369
Non-Hispanic American Indian or Alaska Native,45-54 years,Illinois,2688
Non-Hispanic American Indian or Alaska Native,45-54 years,Indiana,2159
Non-Hispanic American Indian or Alaska Native,45-54 years,Iowa,1187
Non-Hispanic American Indian or Alaska Native,45-54 years,Kansas,3034
Non-Hispanic American Indian or Alaska Native,45-54 years,Kentucky,1332
Non-Hispanic American Indian or Alaska Native,45-54 years,Louisiana,3894
Non-Hispanic American Indian or Alaska Native,45-54 years,Maine,1198
Non-Hispanic American Indian or Alaska Native,45-54 years,Maryland,2153
Non-Hispanic American Indian or Alaska Native,45-54 years,Massachusetts,1674
Non-Hispanic American Indian or Alaska Native,45-54 years,Michigan,7811
Non-Hispanic American Indian or Alaska Native,45-54 years,Minnesota,6685
Non-Hispanic American Indian or Alaska Native,45-54 years,Mississippi,1693
Non-Hispanic American Indian or Alaska Native,45-54 years,Missouri,3503
Non-Hispanic American Indian or Alaska Native,45-54 years,Montana,6453
Non-Hispanic American Indian or Alaska Native,45-54 years,Nebraska,1739
Non-Hispanic American Indian or Alaska Native,45-54 years,Nevada,3475
Non-Hispanic American Indian or Alaska Native,45-54 years,New Hampshire,418
Non-Hispanic American Indian or Alaska Native,45-54 years,New Jersey,1696
Non-Hispanic American Indian or Alaska Native,45-54 years,New Mexico,21288
Non-Hispanic American Indian or Alaska Native,45-54 years,New York,7772
Non-Hispanic American Indian or Alaska Native,45-54 years,North Carolina,15327
Non-Hispanic American Indian or Alaska Native,45-54 years,North Dakota,3906
Non-Hispanic American Indian or Alaska Native,45-54 years,Ohio,3306
Non-Hispanic American Indian or Alaska Native,45-54 years,Oklahoma,36863
Non-Hispanic American Indian or Alaska Native,45-54 years,Oregon,5953
Non-Hispanic American Indian or Alaska Native,45-54 years,Pennsylvania,2408
Non-Hispanic American Indian or Alaska Native,45-54 years,Rhode Island,563
Non-Hispanic American Indian or Alaska Native,45-54 years,South Carolina,2561
Non-Hispanic American Indian or Alaska Native,45-54 years,South Dakota,6997
Non-Hispanic American Indian or Alaska Native,45-54 years,Tennessee,2720
Non-Hispanic American Indian or Alaska Native,45-54 years,Texas,12342
Non-Hispanic American Indian or Alaska Native,45-54 years,United States,293774
Non-Hispanic American Indian or Alaska Native,45-54 years,Utah,3338
Non-Hispanic American Indian or Alaska Native,45-54 years,Vermont,359
Non-Hispanic American Indian or Alaska Native,45-54 years,Virginia,3102
Non-Hispanic American Indian or Alaska Native,45-54 years,Washington,12008
Non-Hispanic American Indian or Alaska Native,45-54 years,West Virginia,567
Non-Hispanic American Indian or Alaska Native,45-54 years,Wisconsin,6651
Non-Hispanic American Indian or Alaska Native,45-54 years,Wyoming,1384
Non-Hispanic American Indian or Alaska Native,55-64 years,Alabama,4321
Non-Hispanic American Indian or Alaska Native,55-64 years,Alaska,11300
Non-Hispanic American Indian or Alaska Native,55-64 years,Arizona,28739
Non-Hispanic American Indian or Alaska Native,55-64 years,Arkansas,3150
Non-Hispanic American Indian or Alaska Native,55-64 years,California,23970
Non-Hispanic American Indian or Alaska Native,55-64 years,Colorado,4423
Non-Hispanic American Indian or Alaska Native,55-64 years,Connecticut,1022
Non-Hispanic American Indian or Alaska Native,55-64 years,Delaware,547
Non-Hispanic American Indian or Alaska Native,55-64 years,District of Columbia,191
Non-Hispanic American Indian or Alaska Native,55-64 years,Florida,8989
Non-Hispanic American Indian or Alaska Native,55-64 years,Georgia,3706
Non-Hispanic American Indian or Alaska Native,55-64 years,Hawaii,449
Non-Hispanic American Indian or Alaska Native,55-64 years,Idaho,2373
Non-Hispanic American Indian or Alaska Native,55-64 years,Illinois,2876
Non-Hispanic American Indian or Alaska Native,55-64 years,Indiana,2589
Non-Hispanic American Indian or Alaska Native,55-64 years,Iowa,1057
Non-Hispanic American Indian or Alaska Native,55-64 years,Kansas,2917
Non-Hispanic American Indian or Alaska Native,55-64 years,Kentucky,1600
Non-Hispanic American Indian or Alaska Native,55-64 years,Louisiana,3758
Non-Hispanic American Indian or Alaska Native,55-64 years,Maine,1303
Non-Hispanic American Indian or Alaska Native,55-64 years,Maryland,2315
Non-Hispanic American Indian or Alaska Native,55-64 years,Massachusetts,1831
Non-Hispanic American Indian or Alaska Native,55-64 years,Michigan,8088
Non-Hispanic American Indian or Alaska Native,55-64 years,Minnesota,6393
Non-Hispanic American Indian or Alaska Native,55-64 years,Mississippi,1656
Non-Hispanic American Indian or Alaska Native,55-64 years,Missouri,3993
Non-Hispanic American Indian or Alaska Native,55-64 years,Montana,6654
Non-Hispanic American Indian or Alaska Native,55-64 years,Nebraska,1520
Non-Hispanic American Indian or Alaska Native,55-64 years,Nevada,3511
Non-Hispanic American Indian or Alaska Native,55-64 years,New Hampshire,488
Non-Hispanic American Indian or Alaska Native,55-64 years,New Jersey,1791
Non-Hispanic American Indian or Alaska Native,55-64 years,New Mexico,20024
Non-Hispanic American Indian or Alaska Native,55-64 years,New York,7627
Non-Hispanic American Indian or Alaska Native,55-64 years,North Carolina,14861
Non-Hispanic American Indian or Alaska Native,55-64 years,North Dakota,3401
Non-Hispanic American Indian or Alaska Native,55-64 years,Ohio,3860
Non-Hispanic American Indian or Alaska Native,55-64 years,Oklahoma,35504
Non-Hispanic American Indian or Alaska Native,55-64 years,Oregon,6053
Non-Hispanic American Indian or Alaska Native,55-64 years,Pennsylvania,2809
Non-Hispanic American Indian or Alaska Native,55-64 years,Rhode Island,555
Non-Hispanic American Indian or Alaska Native,55-64 years,South Carolina,2821
Non-Hispanic American Indian or Alaska Native,55-64 years,South Dakota,5921
Non-Hispanic American Indian or Alaska Native,55-64 years,Tennessee,3300
Non-Hispanic American Indian or Alaska Native,55-64 years,Texas,13592
Non-Hispanic American Indian or Alaska Native,55-64 years,United States,294774
Non-Hispanic American Indian or Alaska Native,55-64 years,Utah,2983
Non-Hispanic American Indian or Alaska Native,55-64 years,Vermont,357
Non-Hispanic American Indian or Alaska Native,55-64 years,Virginia,3489
Non-Hispanic American Indian or Alaska Native,55-64 years,Washington,11888
Non-Hispanic American Indian or Alaska Native,55-64 years,West Virginia,710
Non-Hispanic American Indian or Alaska Native,55-64 years,Wisconsin,6282
Non-Hispanic American Indian or Alaska Native,55-64 years,Wyoming,1217
Non-Hispanic American Indian or Alaska Native,65-74 years,Alabama,2963
Non-Hispanic American Indian or Alaska Native,65-74 years,Alaska,6634
Non-Hispanic American Indian or Alaska Native,65-74 years,Arizona,17069
Non-Hispanic American Indian or Alaska Native,65-74 years,Arkansas,1994
Non-Hispanic American Indian or Alaska Native,65-74 years,California,15594
Non-Hispanic American Indian or Alaska Native,65-74 years,Colorado,2709
Non-Hispanic American Indian or Alaska Native,65-74 years,Connecticut,619
Non-Hispanic American Indian or Alaska Native,65-74 years,Delaware,379
Non-Hispanic American Indian or Alaska Native,65-74 years,District of Columbia,101
Non-Hispanic American Indian or Alaska Native,65-74 years,Florida,6321
Non-Hispanic American Indian or Alaska Native,65-74 years,Georgia,2401
Non-Hispanic American Indian or Alaska Native,65-74 years,Hawaii,288
Non-Hispanic American Indian or Alaska Native,65-74 years,Idaho,1590
Non-Hispanic American Indian or Alaska Native,65-74 years,Illinois,1725
Non-Hispanic American Indian or Alaska Native,65-74 years,Indiana,1512
Non-Hispanic American Indian or Alaska Native,65-74 years,Iowa,589
Non-Hispanic American Indian or Alaska Native,65-74 years,Kansas,1663
Non-Hispanic American Indian or Alaska Native,65-74 years,Kentucky,1044
Non-Hispanic American Indian or Alaska Native,65-74 years,Louisiana,2538
Non-Hispanic American Indian or Alaska Native,65-74 years,Maine,733
Non-Hispanic American Indian or Alaska Native,65-74 years,Maryland,1418
Non-Hispanic American Indian or Alaska Native,65-74 years,Massachusetts,1019
Non-Hispanic American Indian or Alaska Native,65-74 years,Michigan,4838
Non-Hispanic American Indian or Alaska Native,65-74 years,Minnesota,3536
Non-Hispanic American Indian or Alaska Native,65-74 years,Mississippi,1007
Non-Hispanic American Indian or Alaska Native,65-74 years,Missouri,2576
Non-Hispanic American Indian or Alaska Native,65-74 years,Montana,3770
Non-Hispanic American Indian or Alaska Native,65-74 years,Nebraska,866
Non-Hispanic American Indian or Alaska Native,65-74 years,Nevada,2321
Non-Hispanic American Indian or Alaska Native,65-74 years,New Hampshire,300
Non-Hispanic American Indian or Alaska Native,65-74 years,New Jersey,1184
Non-Hispanic American Indian or Alaska Native,65-74 years,New Mexico,12021
